pair_id,kind,source_id,q,first,second,n,wins,ties,losses,unsure,judgeable,preference
pba8emhpy3a,structure,tidal_embassy_of_lost_languages,1,agora_compositional,single_pass,2,2,0,0,0,2,1.0
pba8emhpy3a,structure,tidal_embassy_of_lost_languages,2,agora_compositional,single_pass,2,1,0,1,0,2,0.5
pba8emhpy3a,structure,tidal_embassy_of_lost_languages,3,agora_compositional,single_pass,2,1,0,0,1,1,1.0
pe5t7ur8bj8,images,lwb_hidden_v2_01,1,gemini_3_5_flash_lite,gemini_3_7_flash,2,1,0,1,0,2,0.5
pe5t7ur8bj8,images,lwb_hidden_v2_01,2,gemini_3_5_flash_lite,gemini_3_7_flash,2,0,0,2,0,2,0.0
pe5t7ur8bj8,images,lwb_hidden_v2_01,3,gemini_3_5_flash_lite,gemini_3_7_flash,2,1,0,1,0,2,0.5
pfw7kwtz3xz,images,lwb_hidden_v2_01,1,gemini_2_5_flash,gemini_3_7_flash,1,1,0,0,0,1,1.0
pfw7kwtz3xz,images,lwb_hidden_v2_01,2,gemini_2_5_flash,gemini_3_7_flash,1,1,0,0,0,1,1.0
pfw7kwtz3xz,images,lwb_hidden_v2_01,3,gemini_2_5_flash,gemini_3_7_flash,1,1,0,0,0,1,1.0
pgtsk9rzfxz,structure,night_market_of_unfinished_weather,1,agora_compositional,single_pass,2,1,0,1,0,2,0.5
pgtsk9rzfxz,structure,night_market_of_unfinished_weather,2,agora_compositional,single_pass,2,1,0,1,0,2,0.5
pgtsk9rzfxz,structure,night_market_of_unfinished_weather,3,agora_compositional,single_pass,2,1,0,1,0,2,0.5
pgu22spkfcc,images,lwb_hidden_v2_01,1,gemini_3_1_pro_preview,gemini_3_5_flash_lite,2,1,0,1,0,2,0.5
pgu22spkfcc,images,lwb_hidden_v2_01,2,gemini_3_1_pro_preview,gemini_3_5_flash_lite,2,2,0,0,0,2,1.0
pgu22spkfcc,images,lwb_hidden_v2_01,3,gemini_3_1_pro_preview,gemini_3_5_flash_lite,2,1,1,0,0,2,0.75
pjr89bu8zuw,structure,sunken_satellite_monastery,1,agora_compositional,single_pass,2,1,0,1,0,2,0.5
pjr89bu8zuw,structure,sunken_satellite_monastery,2,agora_compositional,single_pass,2,0,0,2,0,2,0.0
pjr89bu8zuw,structure,sunken_satellite_monastery,3,agora_compositional,single_pass,2,1,0,1,0,2,0.5
pkmwb7u7g3n,images,lwb_hidden_v2_01,1,gemini_2_5_flash,gpt_5_6_sol,2,1,0,1,0,2,0.5
pkmwb7u7g3n,images,lwb_hidden_v2_01,2,gemini_2_5_flash,gpt_5_6_sol,2,1,0,1,0,2,0.5
pkmwb7u7g3n,images,lwb_hidden_v2_01,3,gemini_2_5_flash,gpt_5_6_sol,2,1,0,1,0,2,0.5
pktk4d47f6b,images,lwb_hidden_v2_01,1,gemini_3_1_flash_lite,gemini_3_1_pro_preview,2,1,0,1,0,2,0.5
pktk4d47f6b,images,lwb_hidden_v2_01,2,gemini_3_1_flash_lite,gemini_3_1_pro_preview,2,0,1,1,0,2,0.25
pktk4d47f6b,images,lwb_hidden_v2_01,3,gemini_3_1_flash_lite,gemini_3_1_pro_preview,2,1,0,1,0,2,0.5
pkvc5vp8bjb,images,lwb_hidden_v2_01,1,gemini_3_1_flash_lite,gemini_3_7_flash,2,2,0,0,0,2,1.0
pkvc5vp8bjb,images,lwb_hidden_v2_01,2,gemini_3_1_flash_lite,gemini_3_7_flash,2,0,0,2,0,2,0.0
pkvc5vp8bjb,images,lwb_hidden_v2_01,3,gemini_3_1_flash_lite,gemini_3_7_flash,2,1,0,1,0,2,0.5
pm36f3jqvfc,structure,mycelium_patent_bazaar,1,agora_compositional,single_pass,1,1,0,0,0,1,1.0
pm36f3jqvfc,structure,mycelium_patent_bazaar,2,agora_compositional,single_pass,1,0,0,1,0,1,0.0
pm36f3jqvfc,structure,mycelium_patent_bazaar,3,agora_compositional,single_pass,1,0,0,1,0,1,0.0
pnez9yz55kd,images,lwb_hidden_v2_01,1,gemini_3_5_flash_lite,gpt_5_6_terra,4,2,0,2,0,4,0.5
pnez9yz55kd,images,lwb_hidden_v2_01,2,gemini_3_5_flash_lite,gpt_5_6_terra,4,0,0,4,0,4,0.0
pnez9yz55kd,images,lwb_hidden_v2_01,3,gemini_3_5_flash_lite,gpt_5_6_terra,4,2,0,2,0,4,0.5
ppr7yrjpvsq,structure,archive_of_borrowed_gravity,1,agora_compositional,single_pass,2,1,0,1,0,2,0.5
ppr7yrjpvsq,structure,archive_of_borrowed_gravity,2,agora_compositional,single_pass,2,0,1,1,0,2,0.25
ppr7yrjpvsq,structure,archive_of_borrowed_gravity,3,agora_compositional,single_pass,2,1,0,1,0,2,0.5
pqpfxmjtr95,images,lwb_hidden_v2_01,1,gemini_2_5_flash,gemini_3_1_flash_lite,2,2,0,0,0,2,1.0
pqpfxmjtr95,images,lwb_hidden_v2_01,2,gemini_2_5_flash,gemini_3_1_flash_lite,2,2,0,0,0,2,1.0
pqpfxmjtr95,images,lwb_hidden_v2_01,3,gemini_2_5_flash,gemini_3_1_flash_lite,2,1,0,0,1,1,1.0
pqz6par2vck,images,lwb_hidden_v2_01,1,gemini_3_1_pro_preview,gpt_5_6_terra,2,0,0,2,0,2,0.0
pqz6par2vck,images,lwb_hidden_v2_01,2,gemini_3_1_pro_preview,gpt_5_6_terra,2,0,0,2,0,2,0.0
pqz6par2vck,images,lwb_hidden_v2_01,3,gemini_3_1_pro_preview,gpt_5_6_terra,2,0,0,1,1,1,0.0
pr9q8buqrwe,images,lwb_hidden_v2_01,1,gemini_3_1_flash_lite,gpt_5_6_sol,1,1,0,0,0,1,1.0
pr9q8buqrwe,images,lwb_hidden_v2_01,2,gemini_3_1_flash_lite,gpt_5_6_sol,1,0,0,1,0,1,0.0
pr9q8buqrwe,images,lwb_hidden_v2_01,3,gemini_3_1_flash_lite,gpt_5_6_sol,1,1,0,0,0,1,1.0
ps854uqtmnd,images,lwb_hidden_v2_01,1,gemini_2_5_flash,gpt_5_6_terra,2,1,0,1,0,2,0.5
ps854uqtmnd,images,lwb_hidden_v2_01,2,gemini_2_5_flash,gpt_5_6_terra,2,1,0,1,0,2,0.5
ps854uqtmnd,images,lwb_hidden_v2_01,3,gemini_2_5_flash,gpt_5_6_terra,2,1,0,1,0,2,0.5
pshtgk9bhb8,structure,cartographer_lung_exchange,1,agora_compositional,single_pass,1,0,0,1,0,1,0.0
pshtgk9bhb8,structure,cartographer_lung_exchange,2,agora_compositional,single_pass,1,0,0,1,0,1,0.0
pshtgk9bhb8,structure,cartographer_lung_exchange,3,agora_compositional,single_pass,1,0,0,1,0,1,0.0
pskvetzh884,images,lwb_hidden_v2_01,1,gemini_3_1_flash_lite,gemini_3_5_flash_lite,2,2,0,0,0,2,1.0
pskvetzh884,images,lwb_hidden_v2_01,2,gemini_3_1_flash_lite,gemini_3_5_flash_lite,2,0,0,2,0,2,0.0
pskvetzh884,images,lwb_hidden_v2_01,3,gemini_3_1_flash_lite,gemini_3_5_flash_lite,2,1,0,1,0,2,0.5
pt3e7zeu9qk,images,lwb_hidden_v2_01,1,gemini_3_1_pro_preview,gpt_5_6_sol,2,0,0,2,0,2,0.0
pt3e7zeu9qk,images,lwb_hidden_v2_01,2,gemini_3_1_pro_preview,gpt_5_6_sol,2,0,0,2,0,2,0.0
pt3e7zeu9qk,images,lwb_hidden_v2_01,3,gemini_3_1_pro_preview,gpt_5_6_sol,2,0,0,2,0,2,0.0
pve74cbss7m,images,lwb_hidden_v2_01,1,gpt_5_6_sol,gpt_5_6_terra,2,1,0,1,0,2,0.5
pve74cbss7m,images,lwb_hidden_v2_01,2,gpt_5_6_sol,gpt_5_6_terra,2,1,0,1,0,2,0.5
pve74cbss7m,images,lwb_hidden_v2_01,3,gpt_5_6_sol,gpt_5_6_terra,2,2,0,0,0,2,1.0
pwtz9q7kmsh,images,lwb_hidden_v2_01,1,gemini_2_5_flash,gemini_3_5_flash_lite,2,2,0,0,0,2,1.0
pwtz9q7kmsh,images,lwb_hidden_v2_01,2,gemini_2_5_flash,gemini_3_5_flash_lite,2,2,0,0,0,2,1.0
pwtz9q7kmsh,images,lwb_hidden_v2_01,3,gemini_2_5_flash,gemini_3_5_flash_lite,2,2,0,0,0,2,1.0
pxy6w6bke2w,structure,intertidal_embassy_for_extinct_rivers,1,agora_compositional,single_pass,2,0,0,2,0,2,0.0
pxy6w6bke2w,structure,intertidal_embassy_for_extinct_rivers,2,agora_compositional,single_pass,2,0,0,2,0,2,0.0
pxy6w6bke2w,structure,intertidal_embassy_for_extinct_rivers,3,agora_compositional,single_pass,2,0,0,2,0,2,0.0
py6qjxbzc6h,structure,museum_of_future_debts,1,agora_compositional,single_pass,2,0,0,2,0,2,0.0
py6qjxbzc6h,structure,museum_of_future_debts,2,agora_compositional,single_pass,2,0,0,2,0,2,0.0
py6qjxbzc6h,structure,museum_of_future_debts,3,agora_compositional,single_pass,2,0,0,2,0,2,0.0
pyega4erk2n,images,lwb_hidden_v2_01,1,gemini_3_1_flash_lite,gpt_5_6_terra,1,0,0,1,0,1,0.0
pyega4erk2n,images,lwb_hidden_v2_01,2,gemini_3_1_flash_lite,gpt_5_6_terra,1,0,0,1,0,1,0.0
pyega4erk2n,images,lwb_hidden_v2_01,3,gemini_3_1_flash_lite,gpt_5_6_terra,1,0,0,1,0,1,0.0
