code,round,page,kind,pair_id,source_id,q,item,answer,a,b,winner,included
V04,2,3,images,pr9q8buqrwe,lwb_hidden_v2_01,3,Character-world fit,B,gpt_5_6_sol,gemini_3_1_flash_lite,gemini_3_1_flash_lite,False
V04,3,4,structure,pshtgk9bhb8,cartographer_lung_exchange,1,Explore preference,Same,single_pass,agora_compositional,Same,False
V04,3,4,structure,pshtgk9bhb8,cartographer_lung_exchange,2,World clarity,Same,single_pass,agora_compositional,Same,False
V04,3,4,structure,pshtgk9bhb8,cartographer_lung_exchange,3,Place-scene fit,B,single_pass,agora_compositional,agora_compositional,False
V04,4,5,images,p4n4wt973gs,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_1_pro_preview,gemini_2_5_flash,gemini_2_5_flash,False
V04,4,5,images,p4n4wt973gs,lwb_hidden_v2_01,2,Map readability,B,gemini_3_1_pro_preview,gemini_2_5_flash,gemini_2_5_flash,False
V04,4,5,images,p4n4wt973gs,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_1_pro_preview,gemini_2_5_flash,gemini_2_5_flash,False
V04,5,6,images,pfw7kwtz3xz,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_7_flash,gemini_2_5_flash,gemini_2_5_flash,False
V04,5,6,images,pfw7kwtz3xz,lwb_hidden_v2_01,2,Map readability,B,gemini_3_7_flash,gemini_2_5_flash,gemini_2_5_flash,False
V04,5,6,images,pfw7kwtz3xz,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_7_flash,gemini_2_5_flash,gemini_2_5_flash,False
V04,6,7,structure,pm36f3jqvfc,mycelium_patent_bazaar,1,Explore preference,B,agora_compositional,single_pass,single_pass,False
V04,6,7,structure,pm36f3jqvfc,mycelium_patent_bazaar,2,World clarity,A,agora_compositional,single_pass,agora_compositional,False
V04,6,7,structure,pm36f3jqvfc,mycelium_patent_bazaar,3,Place-scene fit,B,agora_compositional,single_pass,single_pass,False
V05,1,2,images,pktk4d47f6b,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_1_flash_lite,gemini_3_1_pro_preview,gemini_3_1_pro_preview,True
V05,1,2,images,pktk4d47f6b,lwb_hidden_v2_01,2,Map readability,Same,gemini_3_1_flash_lite,gemini_3_1_pro_preview,Same,True
V05,1,2,images,pktk4d47f6b,lwb_hidden_v2_01,3,Character-world fit,A,gemini_3_1_flash_lite,gemini_3_1_pro_preview,gemini_3_1_flash_lite,True
V05,2,3,structure,p99djg9fns3,clockwork_rain_conservatory,1,Explore preference,B,agora_compositional,single_pass,single_pass,True
V05,2,3,structure,p99djg9fns3,clockwork_rain_conservatory,2,World clarity,A,agora_compositional,single_pass,agora_compositional,True
V05,2,3,structure,p99djg9fns3,clockwork_rain_conservatory,3,Place-scene fit,B,agora_compositional,single_pass,single_pass,True
V05,3,4,images,pyega4erk2n,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_1_flash_lite,gpt_5_6_terra,gpt_5_6_terra,True
V05,3,4,images,pyega4erk2n,lwb_hidden_v2_01,2,Map readability,B,gemini_3_1_flash_lite,gpt_5_6_terra,gpt_5_6_terra,True
V05,3,4,images,pyega4erk2n,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_1_flash_lite,gpt_5_6_terra,gpt_5_6_terra,True
V05,4,5,images,pfw7kwtz3xz,lwb_hidden_v2_01,1,Explore preference,A,gemini_2_5_flash,gemini_3_7_flash,gemini_2_5_flash,True
V05,4,5,images,pfw7kwtz3xz,lwb_hidden_v2_01,2,Map readability,A,gemini_2_5_flash,gemini_3_7_flash,gemini_2_5_flash,True
V05,4,5,images,pfw7kwtz3xz,lwb_hidden_v2_01,3,Character-world fit,A,gemini_2_5_flash,gemini_3_7_flash,gemini_2_5_flash,True
V05,5,6,structure,ppr7yrjpvsq,archive_of_borrowed_gravity,1,Explore preference,B,single_pass,agora_compositional,agora_compositional,True
V05,5,6,structure,ppr7yrjpvsq,archive_of_borrowed_gravity,2,World clarity,Same,single_pass,agora_compositional,Same,True
V05,5,6,structure,ppr7yrjpvsq,archive_of_borrowed_gravity,3,Place-scene fit,B,single_pass,agora_compositional,agora_compositional,True
V05,6,7,images,pgu22spkfcc,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_5_flash_lite,gemini_3_1_pro_preview,gemini_3_1_pro_preview,True
V05,6,7,images,pgu22spkfcc,lwb_hidden_v2_01,2,Map readability,B,gemini_3_5_flash_lite,gemini_3_1_pro_preview,gemini_3_1_pro_preview,True
V05,6,7,images,pgu22spkfcc,lwb_hidden_v2_01,3,Character-world fit,Same,gemini_3_5_flash_lite,gemini_3_1_pro_preview,Same,True
V06,1,2,structure,p99djg9fns3,clockwork_rain_conservatory,1,Explore preference,B,agora_compositional,single_pass,single_pass,True
V06,1,2,structure,p99djg9fns3,clockwork_rain_conservatory,2,World clarity,A,agora_compositional,single_pass,agora_compositional,True
V06,1,2,structure,p99djg9fns3,clockwork_rain_conservatory,3,Place-scene fit,B,agora_compositional,single_pass,single_pass,True
V06,2,3,images,pgu22spkfcc,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_1_pro_preview,gemini_3_5_flash_lite,gemini_3_5_flash_lite,True
V06,2,3,images,pgu22spkfcc,lwb_hidden_v2_01,2,Map readability,A,gemini_3_1_pro_preview,gemini_3_5_flash_lite,gemini_3_1_pro_preview,True
V06,2,3,images,pgu22spkfcc,lwb_hidden_v2_01,3,Character-world fit,A,gemini_3_1_pro_preview,gemini_3_5_flash_lite,gemini_3_1_pro_preview,True
V06,3,4,images,pkvc5vp8bjb,lwb_hidden_v2_01,1,Explore preference,A,gemini_3_1_flash_lite,gemini_3_7_flash,gemini_3_1_flash_lite,True
V06,3,4,images,pkvc5vp8bjb,lwb_hidden_v2_01,2,Map readability,B,gemini_3_1_flash_lite,gemini_3_7_flash,gemini_3_7_flash,True
V06,3,4,images,pkvc5vp8bjb,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_1_flash_lite,gemini_3_7_flash,gemini_3_7_flash,True
V06,4,5,structure,p268pkt6x9s,aurora_court_of_migrating_cities,1,Explore preference,A,single_pass,agora_compositional,single_pass,True
V06,4,5,structure,p268pkt6x9s,aurora_court_of_migrating_cities,2,World clarity,B,single_pass,agora_compositional,agora_compositional,True
V06,4,5,structure,p268pkt6x9s,aurora_court_of_migrating_cities,3,Place-scene fit,B,single_pass,agora_compositional,agora_compositional,True
V06,5,6,images,pktk4d47f6b,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_1_pro_preview,gemini_3_1_flash_lite,gemini_3_1_flash_lite,True
V06,5,6,images,pktk4d47f6b,lwb_hidden_v2_01,2,Map readability,A,gemini_3_1_pro_preview,gemini_3_1_flash_lite,gemini_3_1_pro_preview,True
V06,5,6,images,pktk4d47f6b,lwb_hidden_v2_01,3,Character-world fit,A,gemini_3_1_pro_preview,gemini_3_1_flash_lite,gemini_3_1_pro_preview,True
V06,6,7,images,pnez9yz55kd,lwb_hidden_v2_01,1,Explore preference,A,gemini_3_5_flash_lite,gpt_5_6_terra,gemini_3_5_flash_lite,True
V06,6,7,images,pnez9yz55kd,lwb_hidden_v2_01,2,Map readability,B,gemini_3_5_flash_lite,gpt_5_6_terra,gpt_5_6_terra,True
V06,6,7,images,pnez9yz55kd,lwb_hidden_v2_01,3,Character-world fit,A,gemini_3_5_flash_lite,gpt_5_6_terra,gemini_3_5_flash_lite,True
V07,1,2,images,pkvc5vp8bjb,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_7_flash,gemini_3_1_flash_lite,gemini_3_1_flash_lite,True
V07,1,2,images,pkvc5vp8bjb,lwb_hidden_v2_01,2,Map readability,A,gemini_3_7_flash,gemini_3_1_flash_lite,gemini_3_7_flash,True
V07,1,2,images,pkvc5vp8bjb,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_7_flash,gemini_3_1_flash_lite,gemini_3_1_flash_lite,True
V07,2,3,images,ps854uqtmnd,lwb_hidden_v2_01,1,Explore preference,B,gpt_5_6_terra,gemini_2_5_flash,gemini_2_5_flash,True
V07,2,3,images,ps854uqtmnd,lwb_hidden_v2_01,2,Map readability,B,gpt_5_6_terra,gemini_2_5_flash,gemini_2_5_flash,True
V07,2,3,images,ps854uqtmnd,lwb_hidden_v2_01,3,Character-world fit,B,gpt_5_6_terra,gemini_2_5_flash,gemini_2_5_flash,True
V07,3,4,structure,ppr7yrjpvsq,archive_of_borrowed_gravity,1,Explore preference,B,agora_compositional,single_pass,single_pass,True
V07,3,4,structure,ppr7yrjpvsq,archive_of_borrowed_gravity,2,World clarity,B,agora_compositional,single_pass,single_pass,True
V07,3,4,structure,ppr7yrjpvsq,archive_of_borrowed_gravity,3,Place-scene fit,B,agora_compositional,single_pass,single_pass,True
V07,4,5,images,p3s4vrde99z,lwb_hidden_v2_01,1,Explore preference,A,gemini_3_7_flash,gemini_3_1_pro_preview,gemini_3_7_flash,True
V07,4,5,images,p3s4vrde99z,lwb_hidden_v2_01,2,Map readability,A,gemini_3_7_flash,gemini_3_1_pro_preview,gemini_3_7_flash,True
V07,4,5,images,p3s4vrde99z,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_7_flash,gemini_3_1_pro_preview,gemini_3_1_pro_preview,True
V07,5,6,images,pnez9yz55kd,lwb_hidden_v2_01,1,Explore preference,B,gpt_5_6_terra,gemini_3_5_flash_lite,gemini_3_5_flash_lite,True
V07,5,6,images,pnez9yz55kd,lwb_hidden_v2_01,2,Map readability,A,gpt_5_6_terra,gemini_3_5_flash_lite,gpt_5_6_terra,True
V07,5,6,images,pnez9yz55kd,lwb_hidden_v2_01,3,Character-world fit,B,gpt_5_6_terra,gemini_3_5_flash_lite,gemini_3_5_flash_lite,True
V07,6,7,structure,p99djg9fns3,clockwork_rain_conservatory,1,Explore preference,A,single_pass,agora_compositional,single_pass,True
V07,6,7,structure,p99djg9fns3,clockwork_rain_conservatory,2,World clarity,B,single_pass,agora_compositional,agora_compositional,True
V07,6,7,structure,p99djg9fns3,clockwork_rain_conservatory,3,Place-scene fit,B,single_pass,agora_compositional,agora_compositional,True
V08,1,2,images,pt3e7zeu9qk,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_1_pro_preview,gpt_5_6_sol,gpt_5_6_sol,True
V08,1,2,images,pt3e7zeu9qk,lwb_hidden_v2_01,2,Map readability,B,gemini_3_1_pro_preview,gpt_5_6_sol,gpt_5_6_sol,True
V08,1,2,images,pt3e7zeu9qk,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_1_pro_preview,gpt_5_6_sol,gpt_5_6_sol,True
V08,2,3,structure,pjr89bu8zuw,sunken_satellite_monastery,1,Explore preference,A,single_pass,agora_compositional,single_pass,True
V08,2,3,structure,pjr89bu8zuw,sunken_satellite_monastery,2,World clarity,A,single_pass,agora_compositional,single_pass,True
V08,2,3,structure,pjr89bu8zuw,sunken_satellite_monastery,3,Place-scene fit,A,single_pass,agora_compositional,single_pass,True
V08,3,4,images,pwtz9q7kmsh,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_5_flash_lite,gemini_2_5_flash,gemini_2_5_flash,True
V08,3,4,images,pwtz9q7kmsh,lwb_hidden_v2_01,2,Map readability,B,gemini_3_5_flash_lite,gemini_2_5_flash,gemini_2_5_flash,True
V08,3,4,images,pwtz9q7kmsh,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_5_flash_lite,gemini_2_5_flash,gemini_2_5_flash,True
V08,4,5,images,p3s4vrde99z,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_1_pro_preview,gemini_3_7_flash,gemini_3_7_flash,True
V08,4,5,images,p3s4vrde99z,lwb_hidden_v2_01,2,Map readability,B,gemini_3_1_pro_preview,gemini_3_7_flash,gemini_3_7_flash,True
V08,4,5,images,p3s4vrde99z,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_1_pro_preview,gemini_3_7_flash,gemini_3_7_flash,True
V08,5,6,structure,pba8emhpy3a,tidal_embassy_of_lost_languages,1,Explore preference,A,agora_compositional,single_pass,agora_compositional,True
V08,5,6,structure,pba8emhpy3a,tidal_embassy_of_lost_languages,2,World clarity,A,agora_compositional,single_pass,agora_compositional,True
V08,5,6,structure,pba8emhpy3a,tidal_embassy_of_lost_languages,3,Place-scene fit,A,agora_compositional,single_pass,agora_compositional,True
V08,6,7,images,ps854uqtmnd,lwb_hidden_v2_01,1,Explore preference,B,gemini_2_5_flash,gpt_5_6_terra,gpt_5_6_terra,True
V08,6,7,images,ps854uqtmnd,lwb_hidden_v2_01,2,Map readability,B,gemini_2_5_flash,gpt_5_6_terra,gpt_5_6_terra,True
V08,6,7,images,ps854uqtmnd,lwb_hidden_v2_01,3,Character-world fit,B,gemini_2_5_flash,gpt_5_6_terra,gpt_5_6_terra,True
V09,1,2,structure,pxy6w6bke2w,intertidal_embassy_for_extinct_rivers,1,Explore preference,A,single_pass,agora_compositional,single_pass,True
V09,1,2,structure,pxy6w6bke2w,intertidal_embassy_for_extinct_rivers,2,World clarity,A,single_pass,agora_compositional,single_pass,True
V09,1,2,structure,pxy6w6bke2w,intertidal_embassy_for_extinct_rivers,3,Place-scene fit,A,single_pass,agora_compositional,single_pass,True
V09,2,3,images,pt3e7zeu9qk,lwb_hidden_v2_01,1,Explore preference,A,gpt_5_6_sol,gemini_3_1_pro_preview,gpt_5_6_sol,True
V09,2,3,images,pt3e7zeu9qk,lwb_hidden_v2_01,2,Map readability,A,gpt_5_6_sol,gemini_3_1_pro_preview,gpt_5_6_sol,True
V09,2,3,images,pt3e7zeu9qk,lwb_hidden_v2_01,3,Character-world fit,A,gpt_5_6_sol,gemini_3_1_pro_preview,gpt_5_6_sol,True
V09,3,4,images,p45p4mj42fh,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_7_flash,gpt_5_6_terra,gpt_5_6_terra,True
V09,3,4,images,p45p4mj42fh,lwb_hidden_v2_01,2,Map readability,B,gemini_3_7_flash,gpt_5_6_terra,gpt_5_6_terra,True
V09,3,4,images,p45p4mj42fh,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_7_flash,gpt_5_6_terra,gpt_5_6_terra,True
V09,4,5,structure,p268pkt6x9s,aurora_court_of_migrating_cities,1,Explore preference,A,agora_compositional,single_pass,agora_compositional,True
V09,4,5,structure,p268pkt6x9s,aurora_court_of_migrating_cities,2,World clarity,A,agora_compositional,single_pass,agora_compositional,True
V09,4,5,structure,p268pkt6x9s,aurora_court_of_migrating_cities,3,Place-scene fit,A,agora_compositional,single_pass,agora_compositional,True
V09,5,6,images,pnez9yz55kd,lwb_hidden_v2_01,1,Explore preference,A,gpt_5_6_terra,gemini_3_5_flash_lite,gpt_5_6_terra,True
V09,5,6,images,pnez9yz55kd,lwb_hidden_v2_01,2,Map readability,A,gpt_5_6_terra,gemini_3_5_flash_lite,gpt_5_6_terra,True
V09,5,6,images,pnez9yz55kd,lwb_hidden_v2_01,3,Character-world fit,A,gpt_5_6_terra,gemini_3_5_flash_lite,gpt_5_6_terra,True
V09,6,7,images,pwtz9q7kmsh,lwb_hidden_v2_01,1,Explore preference,A,gemini_2_5_flash,gemini_3_5_flash_lite,gemini_2_5_flash,True
V09,6,7,images,pwtz9q7kmsh,lwb_hidden_v2_01,2,Map readability,A,gemini_2_5_flash,gemini_3_5_flash_lite,gemini_2_5_flash,True
V09,6,7,images,pwtz9q7kmsh,lwb_hidden_v2_01,3,Character-world fit,A,gemini_2_5_flash,gemini_3_5_flash_lite,gemini_2_5_flash,True
V10,1,2,images,pskvetzh884,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_5_flash_lite,gemini_3_1_flash_lite,gemini_3_1_flash_lite,True
V10,1,2,images,pskvetzh884,lwb_hidden_v2_01,2,Map readability,A,gemini_3_5_flash_lite,gemini_3_1_flash_lite,gemini_3_5_flash_lite,True
V10,1,2,images,pskvetzh884,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_5_flash_lite,gemini_3_1_flash_lite,gemini_3_1_flash_lite,True
V10,2,3,images,pnez9yz55kd,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_5_flash_lite,gpt_5_6_terra,gpt_5_6_terra,True
V10,2,3,images,pnez9yz55kd,lwb_hidden_v2_01,2,Map readability,B,gemini_3_5_flash_lite,gpt_5_6_terra,gpt_5_6_terra,True
V10,2,3,images,pnez9yz55kd,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_5_flash_lite,gpt_5_6_terra,gpt_5_6_terra,True
V10,3,4,structure,py6qjxbzc6h,museum_of_future_debts,1,Explore preference,A,single_pass,agora_compositional,single_pass,True
V10,3,4,structure,py6qjxbzc6h,museum_of_future_debts,2,World clarity,A,single_pass,agora_compositional,single_pass,True
V10,3,4,structure,py6qjxbzc6h,museum_of_future_debts,3,Place-scene fit,A,single_pass,agora_compositional,single_pass,True
V10,4,5,images,p3muu378r39,lwb_hidden_v2_01,1,Explore preference,B,gpt_5_6_sol,gemini_3_7_flash,gemini_3_7_flash,True
V10,4,5,images,p3muu378r39,lwb_hidden_v2_01,2,Map readability,A,gpt_5_6_sol,gemini_3_7_flash,gpt_5_6_sol,True
V10,4,5,images,p3muu378r39,lwb_hidden_v2_01,3,Character-world fit,B,gpt_5_6_sol,gemini_3_7_flash,gemini_3_7_flash,True
V10,5,6,images,p45p4mj42fh,lwb_hidden_v2_01,1,Explore preference,A,gpt_5_6_terra,gemini_3_7_flash,gpt_5_6_terra,True
V10,5,6,images,p45p4mj42fh,lwb_hidden_v2_01,2,Map readability,A,gpt_5_6_terra,gemini_3_7_flash,gpt_5_6_terra,True
V10,5,6,images,p45p4mj42fh,lwb_hidden_v2_01,3,Character-world fit,A,gpt_5_6_terra,gemini_3_7_flash,gpt_5_6_terra,True
V10,6,7,structure,pxy6w6bke2w,intertidal_embassy_for_extinct_rivers,1,Explore preference,B,agora_compositional,single_pass,single_pass,True
V10,6,7,structure,pxy6w6bke2w,intertidal_embassy_for_extinct_rivers,2,World clarity,B,agora_compositional,single_pass,single_pass,True
V10,6,7,structure,pxy6w6bke2w,intertidal_embassy_for_extinct_rivers,3,Place-scene fit,B,agora_compositional,single_pass,single_pass,True
V11,1,2,images,pskvetzh884,lwb_hidden_v2_01,1,Explore preference,A,gemini_3_1_flash_lite,gemini_3_5_flash_lite,gemini_3_1_flash_lite,True
V11,1,2,images,pskvetzh884,lwb_hidden_v2_01,2,Map readability,B,gemini_3_1_flash_lite,gemini_3_5_flash_lite,gemini_3_5_flash_lite,True
V11,1,2,images,pskvetzh884,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_1_flash_lite,gemini_3_5_flash_lite,gemini_3_5_flash_lite,True
V11,2,3,structure,py6qjxbzc6h,museum_of_future_debts,1,Explore preference,B,agora_compositional,single_pass,single_pass,True
V11,2,3,structure,py6qjxbzc6h,museum_of_future_debts,2,World clarity,B,agora_compositional,single_pass,single_pass,True
