code,position,row,pair_id,arm,prompt_id,left,right,condition_1,condition_2
Q08,6,54,p976e3srme7,model,lwb_hidden_v2_02,gemini_3_1_pro_preview,gpt_5_6_sol,gemini_3_1_pro_preview,gpt_5_6_sol
Q09,1,55,pjr89bu8zuw,architecture,sunken_satellite_monastery,single_pass,agora_compositional,agora_compositional,single_pass
Q09,2,56,pqpfxmjtr95,model,lwb_hidden_v2_01,gemini_3_1_flash_lite,gemini_2_5_flash,gemini_2_5_flash,gemini_3_1_flash_lite
Q09,3,57,pu2u66q6c5g,model,lwb_hidden_v2_03,gemini_2_5_flash,gemini_3_1_flash_lite,gemini_2_5_flash,gemini_3_1_flash_lite
Q09,4,58,p268pkt6x9s,architecture,aurora_court_of_migrating_cities,agora_compositional,single_pass,agora_compositional,single_pass
Q09,5,59,pe5t7ur8bj8,model,lwb_hidden_v2_01,gemini_3_5_flash_lite,gemini_3_7_flash,gemini_3_5_flash_lite,gemini_3_7_flash
Q09,6,60,pvaqy5w9p2n,model,lwb_hidden_v2_02,gemini_3_7_flash,gemini_3_1_flash_lite,gemini_3_1_flash_lite,gemini_3_7_flash
Q10,1,61,p45p4mj42fh,model,lwb_hidden_v2_01,gpt_5_6_terra,gemini_3_7_flash,gemini_3_7_flash,gpt_5_6_terra
Q10,2,62,pw5zc855zmu,model,lwb_hidden_v2_03,gpt_5_6_sol,gemini_2_5_flash,gemini_2_5_flash,gpt_5_6_sol
Q10,3,63,pm36f3jqvfc,architecture,mycelium_patent_bazaar,single_pass,agora_compositional,agora_compositional,single_pass
Q10,4,64,pph5dk26ghd,model,lwb_hidden_v2_02,gemini_3_7_flash,gemini_2_5_flash,gemini_2_5_flash,gemini_3_7_flash
Q10,5,65,pgu22spkfcc,model,lwb_hidden_v2_01,gemini_3_1_pro_preview,gemini_3_5_flash_lite,gemini_3_1_pro_preview,gemini_3_5_flash_lite
Q10,6,66,pba8emhpy3a,architecture,tidal_embassy_of_lost_languages,agora_compositional,single_pass,agora_compositional,single_pass
Q11,1,67,p3s4vrde99z,model,lwb_hidden_v2_01,gemini_3_7_flash,gemini_3_1_pro_preview,gemini_3_1_pro_preview,gemini_3_7_flash
Q11,2,68,pjr89bu8zuw,architecture,sunken_satellite_monastery,agora_compositional,single_pass,agora_compositional,single_pass
Q11,3,69,pgcjg4hkuva,model,lwb_hidden_v2_02,gpt_5_6_sol,gemini_2_5_flash,gemini_2_5_flash,gpt_5_6_sol
Q11,4,70,pfw7kwtz3xz,model,lwb_hidden_v2_01,gemini_2_5_flash,gemini_3_7_flash,gemini_2_5_flash,gemini_3_7_flash
Q11,5,71,pxy6w6bke2w,architecture,intertidal_embassy_for_extinct_rivers,single_pass,agora_compositional,agora_compositional,single_pass
Q11,6,72,psq5sbn3a92,model,lwb_hidden_v2_03,gemini_3_7_flash,gemini_3_1_flash_lite,gemini_3_1_flash_lite,gemini_3_7_flash
